"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","398","161","83","244","82","72","154"
"15歳未満","1","","1","1","","",""
"15～19歳","","","","","","",""
"20～24歳","3","2","1","3","","",""
"25～29歳","4","2","2","4","","",""
"30～34歳","4","1","2","3","","1","1"
"35～39歳","8","2","3","5","2","1","3"
"40～44歳","4","2","1","3","","1","1"
"45～49歳","18","6","4","10","2","6","8"
"50～54歳","12","8","3","11","","1","1"
"55～59歳","27","17","3","20","3","4","7"
"60～64歳","32","20","3","23","5","4","9"
"65～69歳","49","23","11","34","8","7","15"
"70～74歳","48","24","7","31","11","6","17"
"75～79歳","59","28","11","39","13","7","20"
"80～84歳","64","20","17","37","13","14","27"
"85歳以上","65","6","14","20","25","20","45"
"（再掲）／0～14歳","1","","1","1","","",""
"（再掲）／15～64歳","112","60","22","82","12","18","30"
"（再掲）／65歳以上","285","101","60","161","70","54","124"
"（再掲）／15歳以上","397","161","82","243","82","72","154"
