"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","341","147","75","222","69","50","119"
"15歳未満","","","","","","",""
"15～19歳","","","","","","",""
"20～24歳","2","1","1","2","","",""
"25～29歳","3","","1","1","1","1","2"
"30～34歳","1","","","","","1","1"
"35～39歳","5","","5","5","","",""
"40～44歳","8","4","1","5","2","1","3"
"45～49歳","13","7","5","12","","1","1"
"50～54歳","21","10","5","15","1","5","6"
"55～59歳","10","4","3","7","2","1","3"
"60～64歳","29","21","6","27","1","1","2"
"65～69歳","46","32","6","38","6","2","8"
"70～74歳","50","30","8","38","7","5","12"
"75～79歳","41","14","12","26","9","6","15"
"80～84歳","59","15","11","26","19","14","33"
"85歳以上","53","9","11","20","21","12","33"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","92","47","27","74","7","11","18"
"（再掲）／65歳以上","249","100","48","148","62","39","101"
"（再掲）／15歳以上","341","147","75","222","69","50","119"
