"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","152","57","30","87","42","23","65"
"15歳未満","","","","","","",""
"15～19歳","1","1","","1","","",""
"20～24歳","2","1","","1","1","","1"
"25～29歳","1","1","","1","","",""
"30～34歳","2","2","","2","","",""
"35～39歳","1","1","","1","","",""
"40～44歳","5","2","","2","2","1","3"
"45～49歳","7","7","","7","","",""
"50～54歳","3","2","1","3","","",""
"55～59歳","13","5","6","11","2","","2"
"60～64歳","13","9","2","11","1","1","2"
"65～69歳","18","9","2","11","7","","7"
"70～74歳","16","8","4","12","2","2","4"
"75～79歳","20","6","3","9","5","6","11"
"80～84歳","15","2","1","3","4","8","12"
"85歳以上","35","1","11","12","18","5","23"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","48","31","9","40","6","2","8"
"（再掲）／65歳以上","104","26","21","47","36","21","57"
"（再掲）／15歳以上","152","57","30","87","42","23","65"
