"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","550","254","107","361","81","108","189"
"15歳未満","","","","","","",""
"15～19歳","1","","","","","1","1"
"20～24歳","7","1","2","3","3","1","4"
"25～29歳","6","2","","2","1","3","4"
"30～34歳","6","","2","2","3","1","4"
"35～39歳","6","5","","5","1","","1"
"40～44歳","10","6","1","7","2","1","3"
"45～49歳","22","15","5","20","2","","2"
"50～54歳","23","15","3","18","1","4","5"
"55～59歳","34","18","10","28","3","3","6"
"60～64歳","49","32","10","42","4","3","7"
"65～69歳","77","53","14","67","2","8","10"
"70～74歳","60","41","7","48","7","5","12"
"75～79歳","71","30","14","44","15","12","27"
"80～84歳","71","16","20","36","14","21","35"
"85歳以上","107","20","19","39","23","45","68"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","164","94","33","127","20","17","37"
"（再掲）／65歳以上","386","160","74","234","61","91","152"
"（再掲）／15歳以上","550","254","107","361","81","108","189"
