"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","233","103","55","158","37","38","75"
"15歳未満","1","","1","1","","",""
"15～19歳","","","","","","",""
"20～24歳","1","1","","1","","",""
"25～29歳","1","","1","1","","",""
"30～34歳","1","","1","1","","",""
"35～39歳","2","2","","2","","",""
"40～44歳","1","1","","1","","",""
"45～49歳","10","3","3","6","3","1","4"
"50～54歳","9","4","2","6","1","2","3"
"55～59歳","13","5","4","9","3","1","4"
"60～64歳","22","14","7","21","1","","1"
"65～69歳","39","29","5","34","2","3","5"
"70～74歳","42","20","9","29","4","9","13"
"75～79歳","24","8","7","15","5","4","9"
"80～84歳","37","11","7","18","8","11","19"
"85歳以上","30","5","8","13","10","7","17"
"（再掲）／0～14歳","1","","1","1","","",""
"（再掲）／15～64歳","60","30","18","48","8","4","12"
"（再掲）／65歳以上","172","73","36","109","29","34","63"
"（再掲）／15歳以上","232","103","54","157","37","38","75"
