"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","243","120","43","163","48","32","80"
"15歳未満","1","","","","","1","1"
"15～19歳","","","","","","",""
"20～24歳","2","2","","2","","",""
"25～29歳","2","1","","1","1","","1"
"30～34歳","1","","","","1","","1"
"35～39歳","9","6","1","7","2","","2"
"40～44歳","3","1","1","2","","1","1"
"45～49歳","9","5","3","8","1","","1"
"50～54歳","13","10","1","11","2","","2"
"55～59歳","13","9","4","13","","",""
"60～64歳","20","15","3","18","1","1","2"
"65～69歳","33","20","8","28","3","2","5"
"70～74歳","25","18","3","21","2","2","4"
"75～79歳","31","15","5","20","6","5","11"
"80～84歳","38","11","8","19","13","6","19"
"85歳以上","43","7","6","13","16","14","30"
"（再掲）／0～14歳","1","","","","","1","1"
"（再掲）／15～64歳","72","49","13","62","8","2","10"
"（再掲）／65歳以上","170","71","30","101","40","29","69"
"（再掲）／15歳以上","242","120","43","163","48","31","79"
