"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","69","23","14","37","22","10","32"
"15歳未満","","","","","","",""
"15～19歳","","","","","","",""
"20～24歳","","","","","","",""
"25～29歳","","","","","","",""
"30～34歳","","","","","","",""
"35～39歳","2","1","1","2","","",""
"40～44歳","2","","1","1","","1","1"
"45～49歳","","","","","","",""
"50～54歳","2","1","","1","","1","1"
"55～59歳","1","","1","1","","",""
"60～64歳","10","5","3","8","2","","2"
"65～69歳","13","6","2","8","4","1","5"
"70～74歳","5","3","","3","1","1","2"
"75～79歳","14","4","2","6","7","1","8"
"80～84歳","8","","1","1","3","4","7"
"85歳以上","12","3","3","6","5","1","6"
"（再掲）／0～14歳","","","","","","",""
"（再掲）／15～64歳","17","7","6","13","2","2","4"
"（再掲）／65歳以上","52","16","8","24","20","8","28"
"（再掲）／15歳以上","69","23","14","37","22","10","32"
